Sentences,Positive,Negative
says the annies list political group supports third trimester abortions on demand,2,-1
when did the decline of coal start it started when natural gas took off that started to begin in president george w bushs administration,1,-2
hillary clinton agrees with john mccain by voting to give george bush the benefit of the doubt on iran,1,-2
health care reform legislation is likely to mandate free sex change surgeries,2,-1
the economic turnaround started at the end of my term,1,-1
the chicago bears have had more starting quarterbacks in the last years than the total number of tenured uw faculty fired during the last two decades,1,-3
jim dunnam has not lived in the district he represents for years now,1,-1
i m the only person on this stage who has worked actively just last year passing along with russ feingold some of the toughest ethics reform since watergate,1,-2
however it took million in oregon lottery funds for the port of newport to eventually land the new noaa marine operations center pacific,1,-1
says gop primary opponents glenn grothman and joe leibham cast a compromise vote that cost million in higher electricity costs,1,-1
for the first time in history the share of the national popular vote margin is smaller than the latino vote margin,1,-1
since nearly million americans have slipped out of the middle class and into poverty,1,-2
when mitt romney was governor of massachusetts we didnt just slow the rate of growth of our government we actually cut it,1,-1
the economy bled billion due to the government shutdown,1,-1
most of the affordable care act has already in some sense been waived or otherwise suspended,2,-1
in this last election in november percent of the american people chose not to vote percent of young people and percent of low income workers chose not to vote,1,-2
mccain opposed a requirement that the government buy american made motorcycles and he said all buy american provisions were quote disgraceful,1,-4
u s rep ron kind d wis and his fellow democrats went on a spending spree and now their credit card is maxed out,2,-1
water rates in manila philippines were raised up to percent when a subsidiary of the world bank became a partial owner,1,-1
almost people left puerto rico last year,1,-1
women and men both are making less when you adjust for inflation than when john kitzhaber was first elected governor,1,-2
the united states has the highest corporate tax rate in the free world,1,-2
we just had the best year for the auto industry in america in history,2,-1
says scott walker favors cutting up to families and children off health care,2,-1
says mitt romney wants to get rid of planned parenthood,1,-2
i dont know who jonathan gruber is,1,-1
hate crimes against american muslims and mosques have tripled after paris and san bernardino,1,-4
rick perry has never lost an election and remains the only person to have won the texas governorship three times in landslide elections,1,-1
isis supporter tweeted at a m shooting began at a m in chattanooga tenn,2,-2
youth unemployment in minority communities is about to percent,1,-1
says paul ryan is still endorsing trump,1,-1
if you look at states that are right to work they constantly do not have budget deficits and they have very good business climates,3,-1
what the obama administration is going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants,1,-2
we cut business taxes so today percent of our businesses dont pay a business tax,1,-2
says mark pryor votes with obama percent of the time,1,-2
we have a federal government that thinks they have the authority to regulate our toilet seats,1,-1
austin is a city that has basically doubled in size every years or so since it was founded,1,-1
the nuclear test conducted in our nation this time is the earth s th nuclear test the five permanent members of the u n security council have conducted percent of the total nuclear tests,2,-1
in the case of a catastrophic event the atlanta area offices of the centers for disease control and prevention will self destruct,1,-3
under president george w bush we added trillion to the debt under president obama weve added trillion to the debt,1,-1
says a u s supreme court justice suggested that some u s cases will be decided based on south african law,3,-1
says marco rubio skipped defense votes including one to arm the kurds to fight isis,1,-3
rep david cicilline is responsible for the federal loan guarantee to solyndra the failed solar company,1,-3
says ohio budget item later signed into law by gov john kasich requires women seeking an abortion to undergo a mandatory vaginal probe,1,-1
we have a director of homeland security who cannot use and will not use the term terrorist attack but instead substitutes man made disaster,2,-4
african american youth unemployment is percent hispanic youth unemployment is percent,1,-1
obamacare will provide insurance to all non u s residents even if they are here illegally,1,-1
president barack obama took exactly none of his own deficit reduction commissions ideas not one,1,-2
it was under barack obama and hillary clinton that changed the rules of engagement that probably cost capt humayun khans life,1,-1
hillary clinton in co sponsored legislation that would jail flag burners,1,-2
says the paperback edition of mitt romneys book deleted line that massachusetts individual mandate should be the model for the country,1,-1
maggie hassan raised tuition making it the highest in america,1,-1
says terry mcauliffe is the person who invented the scheme to rent out the lincoln bedroom,1,-1
we created new jobs we cut the unemployment rate almost in half and today new york state has more private sector jobs than it has ever had in its history,1,-1
we have towns in west texas that are out of water that are having to truck in water,1,-1
in georgia women earn cents for every dollar earned by men,1,-1
a federal system that verifies employees are authorized to work in the u s is inaccurate anywhere from percent all the way up to in excess of percent of the time,1,-2
they were going to build the wall a while ago not so long ago like in and they couldnt get environmental impact statements,2,-1
sen obama s campaign announced that he s choosing his cabinet,1,-1
in only percent of latinos in texas were registered to vote and only percent actually turned out,1,-1
only percent of public high schools in the country offer pe classes,1,-1
said he s the only republican candidate who s actually turned around a government economy,1,-1
on military recruiters at harvard elena kagan took a position and the supreme court ruled unanimously that she was wrong,3,-2
there are public school teachers in texas and there are non teachers in our public schools,1,-1
under mayor cicilline providence was a sanctuary city,1,-1
transgender individuals in the u s have a in chance of being murdered,1,-4
